,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
0,67addefefdd3efc24328046d,HDFCBANK,EQ,N,1714.25,1693.55,1699.0,1697.7,1698.95,1706.8,6301217,10730216799.15,1880.0,1363.55,200278,INE040A01034,2025-02-13,2025-02-12T18:30:00.000Z,2025-02-13T12:01:02.738Z,2025-02-13T12:01:02.738Z,0,,1702.88,13-Feb-2025,
1,67af307e1ad0d11c4fc2ac87,HDFCBANK,EQ,N,1701.9,1680.0,1701.9,1694.85,1694.4,1697.7,9979946,16870660139.45,1880.0,1363.55,309031,INE040A01034,2025-02-14,2025-02-13T18:30:00.000Z,2025-02-14T12:01:02.554Z,2025-02-14T12:01:02.554Z,0,,1690.46,14-Feb-2025,
2,67b324dbe5f7fd45780ff3c4,HDFCBANK,EQ,N,1720.0,1681.25,1685.2,1717.35,1719.0,1694.85,6469473,11011975039.0,1880.0,1397.3,262946,INE040A01034,2025-02-17,2025-02-16T18:30:00.000Z,2025-02-17T12:00:27.456Z,2025-02-17T12:00:27.456Z,0,,1702.14,17-Feb-2025,
3,67b4767fd481b253cf88840c,HDFCBANK,EQ,N,1731.55,1706.15,1713.05,1723.05,1723.0,1717.35,8175455,14070671116.4,1880.0,1397.3,322226,INE040A01034,2025-02-18,2025-02-17T18:30:00.000Z,2025-02-18T12:01:03.049Z,2025-02-18T12:01:03.049Z,0,,1721.09,18-Feb-2025,
4,67b5c7fe0a2e48b32d5283d0,HDFCBANK,EQ,N,1737.9,1712.45,1717.0,1727.2,1725.05,1723.05,5942056,10264454339.75,1880.0,1397.3,300603,INE040A01034,2025-02-19,2025-02-18T18:30:00.000Z,2025-02-19T12:01:02.546Z,2025-02-19T12:01:02.546Z,0,,1727.42,19-Feb-2025,
5,67b7197fdfcbe3f31dad8133,HDFCBANK,EQ,N,1714.7,1685.3,1711.0,1687.1,1685.95,1727.2,13195255,22366435828.3,1880.0,1397.3,246655,INE040A01034,2025-02-20,2025-02-19T18:30:00.000Z,2025-02-20T12:01:03.218Z,2025-02-20T12:01:03.218Z,0,,1695.04,20-Feb-2025,
6,67b86afe50c397656657fc80,HDFCBANK,EQ,N,1694.95,1677.25,1680.9,1692.5,1690.0,1687.1,7840470,13220829593.15,1880.0,1397.3,292907,INE040A01034,2025-02-21,2025-02-20T18:30:00.000Z,2025-02-21T12:01:02.180Z,2025-02-21T12:01:02.180Z,0,,1686.23,21-Feb-2025,
7,67bc5f7f818ad13fed5048fb,HDFCBANK,EQ,N,1684.2,1661.1,1681.1,1677.1,1677.0,1692.5,10346823,17303402535.1,1880.0,1397.3,245559,INE040A01034,2025-02-24,2025-02-23T18:30:00.000Z,2025-02-24T12:01:03.076Z,2025-02-24T12:01:03.076Z,0,,1672.34,24-Feb-2025,
8,67bdb0fef6f4ca09e8b39e26,HDFCBANK,EQ,N,1688.0,1671.1,1671.1,1682.35,1680.85,1677.1,12069354,20298255600.95,1880.0,1397.3,222521,INE040A01034,2025-02-25,2025-02-24T18:30:00.000Z,2025-02-25T12:01:02.159Z,2025-02-25T12:01:02.159Z,0,,1681.8,25-Feb-2025,
9,67c053ddba0bd624adc0ef9b,HDFCBANK,EQ,N,1710.75,1682.55,1682.55,1700.7,1698.25,1682.35,17893400,30437323745.0,1880.0,1397.3,333728,INE040A01034,2025-02-27,2025-02-26T18:30:00.000Z,2025-02-27T12:00:29.843Z,2025-02-27T12:00:29.843Z,0,,1701.04,27-Feb-2025,
10,67c1a57ffe69473999549df0,HDFCBANK,EQ,N,1737.25,1685.0,1685.0,1732.4,1730.15,1700.7,27258364,46915554649.05,1880.0,1397.3,439035,INE040A01034,2025-02-28,2025-02-27T18:30:00.000Z,2025-02-28T12:01:03.323Z,2025-02-28T12:01:03.323Z,0,,1721.14,28-Feb-2025,
11,677bc5ff97f58fe88f9446fa,HDFCBANK,EQ,N,1757.2,1705.8,1740.1,1710.5,1711.0,1749.2,9408174,16231088938.6,1880.0,1363.55,286152,INE040A01034,2025-01-06,2025-01-05T18:30:00.000Z,2025-01-06T12:01:03.134Z,2025-01-06T12:01:03.134Z,0,,1725.21,06-Jan-2025,
12,677d177edefc1db3443cc4ec,HDFCBANK,EQ,N,1721.0,1700.0,1715.0,1713.4,1712.95,1710.5,6763953,11585014112.5,1880.0,1363.55,183035,INE040A01034,2025-01-07,2025-01-06T18:30:00.000Z,2025-01-07T12:01:02.732Z,2025-01-07T12:01:02.732Z,0,,1712.76,07-Jan-2025,
13,677e68ff14c969f718642575,HDFCBANK,EQ,N,1711.65,1683.35,1708.25,1694.3,1694.2,1713.4,9869095,16718930725.7,1880.0,1363.55,333259,INE040A01034,2025-01-08,2025-01-07T18:30:00.000Z,2025-01-08T12:01:03.090Z,2025-01-08T12:01:03.090Z,0,,1694.07,08-Jan-2025,
14,677fba7fb11de24f9f0e1755,HDFCBANK,EQ,N,1689.0,1658.1,1684.15,1667.8,1668.8,1694.3,20210111,33712559507.35,1880.0,1363.55,484900,INE040A01034,2025-01-09,2025-01-08T18:30:00.000Z,2025-01-09T12:01:03.125Z,2025-01-09T12:01:03.125Z,0,,1668.1,09-Jan-2025,
15,67810bfee513b66e87ebdad9,HDFCBANK,EQ,N,1674.9,1654.0,1671.0,1656.75,1657.0,1667.8,8726640,14526837756.8,1880.0,1363.55,215325,INE040A01034,2025-01-10,2025-01-09T18:30:00.000Z,2025-01-10T12:01:02.351Z,2025-01-10T12:01:02.351Z,0,,1664.65,10-Jan-2025,
16,6785007f2c53ea2e041d1e55,HDFCBANK,EQ,N,1646.75,1624.3,1640.0,1630.85,1632.1,1656.75,10834533,17709048137.7,1880.0,1363.55,275849,INE040A01034,2025-01-13,2025-01-12T18:30:00.000Z,2025-01-13T12:01:03.066Z,2025-01-13T12:01:03.066Z,0,,1634.5,13-Jan-2025,
17,678651fe19d2c6c42095a6a8,HDFCBANK,EQ,N,1656.2,1637.0,1639.9,1646.6,1650.75,1630.85,13330716,21953639202.1,1880.0,1363.55,315905,INE040A01034,2025-01-14,2025-01-13T18:30:00.000Z,2025-01-14T12:01:02.764Z,2025-01-14T12:01:02.764Z,0,,1646.85,14-Jan-2025,
18,6787a37ea08366c8d01f2556,HDFCBANK,EQ,N,1662.7,1636.3,1656.5,1643.05,1645.7,1646.6,7011446,11558819066.05,1880.0,1363.55,207907,INE040A01034,2025-01-15,2025-01-14T18:30:00.000Z,2025-01-15T12:01:02.291Z,2025-01-15T12:01:02.291Z,0,,1648.56,15-Jan-2025,
19,6788f4ff7c937687fcf9ed46,HDFCBANK,EQ,N,1660.55,1642.85,1652.85,1652.05,1654.85,1643.05,10606227,17510025478.45,1880.0,1363.55,215124,INE040A01034,2025-01-16,2025-01-15T18:30:00.000Z,2025-01-16T12:01:03.208Z,2025-01-16T12:01:03.208Z,0,,1650.92,16-Jan-2025,
20,678a467e8cc9267607deaf19,HDFCBANK,EQ,N,1650.5,1628.5,1643.5,1636.75,1636.7,1652.05,11556038,18905738551.0,1880.0,1363.55,214237,INE040A01034,2025-01-17,2025-01-16T18:30:00.000Z,2025-01-17T12:01:02.756Z,2025-01-17T12:01:02.756Z,0,,1636.01,17-Jan-2025,
21,678e3afe5ada6e714f826c75,HDFCBANK,EQ,N,1660.95,1626.0,1626.0,1651.25,1652.85,1636.75,8778809,14457009775.1,1880.0,1363.55,226533,INE040A01034,2025-01-20,2025-01-19T18:30:00.000Z,2025-01-20T12:01:02.949Z,2025-01-20T12:01:02.949Z,0,,1646.81,20-Jan-2025,
22,678f8c7ee7a37c0f45c8b24f,HDFCBANK,EQ,N,1661.05,1633.05,1658.25,1642.4,1645.75,1651.25,15579072,25631380761.95,1880.0,1363.55,270722,INE040A01034,2025-01-21,2025-01-20T18:30:00.000Z,2025-01-21T12:01:02.862Z,2025-01-21T12:01:02.862Z,0,,1645.24,21-Jan-2025,
23,6790ddfe6bdd837c9fe69138,HDFCBANK,EQ,N,1671.9,1625.45,1642.4,1666.05,1671.9,1642.4,15309653,25319845164.8,1880.0,1363.55,367130,INE040A01034,2025-01-22,2025-01-21T18:30:00.000Z,2025-01-22T12:01:02.210Z,2025-01-22T12:01:02.210Z,0,,1653.85,22-Jan-2025,
24,67922f7e9a3fa4a10311f4fc,HDFCBANK,EQ,N,1687.0,1651.25,1687.0,1664.9,1665.0,1666.05,17454579,29076566202.7,1880.0,1363.55,445411,INE040A01034,2025-01-23,2025-01-22T18:30:00.000Z,2025-01-23T12:01:02.295Z,2025-01-23T12:01:02.295Z,0,,1665.84,23-Jan-2025,
25,679380fe61596ed1d929beb5,HDFCBANK,EQ,N,1670.3,1644.5,1660.0,1649.8,1645.0,1664.9,12118100,20100037678.05,1880.0,1363.55,271994,INE040A01034,2025-01-24,2025-01-23T18:30:00.000Z,2025-01-24T12:01:02.412Z,2025-01-24T12:01:02.412Z,0,,1658.68,24-Jan-2025,
26,6797757ee3454e94c491d5e5,HDFCBANK,EQ,N,1643.6,1626.0,1641.1,1629.8,1629.5,1649.8,11402083,18612439467.95,1880.0,1363.55,277125,INE040A01034,2025-01-27,2025-01-26T18:30:00.000Z,2025-01-27T12:01:02.813Z,2025-01-27T12:01:02.813Z,0,,1632.37,27-Jan-2025,
